TOKEN_ID,TOKEN_NAME,IMAGE,TOKEN_URI,DNA,Hair,Clothing,Jewelry,Mouth,Type,Type,Eye Color,Facial Feature,Eyewear,Accessories,Back,Helmet
13159,CloneX #13159,https://clonex-assets.rtfkt.com/images/13159.png,https://clonex-assets.rtfkt.com/13159,Human,NEON Cap,BLCK TCTL Vest,SLVR Two Piece,,,,GRN,Scratch Scarz,,,Sword,
13158,CloneX #13158,https://clonex-assets.rtfkt.com/images/13158.png,https://clonex-assets.rtfkt.com/13158,Human,FLME,LIME GANG,CHRM,,,,BRWN,,,Gold Round Earrings,Robotic Arms,
13154,CloneX #13154,https://clonex-assets.rtfkt.com/images/13154.png,https://clonex-assets.rtfkt.com/13154,Human,BLU Curtains,LIME GANG,,Lollipop,,,PNK,SKULL WEBZ TAT,,,,
13157,CloneX #13157,https://clonex-assets.rtfkt.com/images/13157.png,https://clonex-assets.rtfkt.com/13157,Robot,PNK Pigtails,V2 WHT SKL GRL,S-PDLCK,,,,,,Cyber Eyes,,,
13152,CloneX #13152,https://clonex-assets.rtfkt.com/images/13152.png,https://clonex-assets.rtfkt.com/13152,Robot,ORNG Bandana TECH Cap,CLNX Tee,,WZRD,,,,,,SLVR STUD,,
13155,CloneX #13155,https://clonex-assets.rtfkt.com/images/13155.png,https://clonex-assets.rtfkt.com/13155,Robot,BLU Shape Up,PNK Fur Coat,S-PDLCK,,,,,,SPiKED BILLIONAIRE,,,
13153,CloneX #13153,https://clonex-assets.rtfkt.com/images/13153.png,https://clonex-assets.rtfkt.com/13153,Robot,BLU Braid,V4 WHT SKL GRL,,,,,,,Assault Glasses,,,
13156,CloneX #13156,https://clonex-assets.rtfkt.com/images/13156.png,https://clonex-assets.rtfkt.com/13156,Robot,MNT Beret Braids,Blade Melt Tee,,Alien,,,,,VSN Glasses,,,
13151,CloneX #13151,https://clonex-assets.rtfkt.com/images/13151.png,https://clonex-assets.rtfkt.com/13151,Robot,BLCK Soundwave,SPACE TRIP Tee,GPURP Two Piece,,MK1,MK1,SPINNING,,,,SPLASH,
13146,CloneX #13146,https://clonex-assets.rtfkt.com/images/13146.png,https://clonex-assets.rtfkt.com/13146,Robot,BLCK Shape Up,GRN TCTL Vest,Bladez CHKR,,,,,,TECH GOGGLES,,,
13145,CloneX #13145,https://clonex-assets.rtfkt.com/images/13145.png,https://clonex-assets.rtfkt.com/13145,Robot,GRN Cyber Dreads,BLCK Tee,BLCK-RD ZK-BEADZ,,,,,,,VVS STUD,,
13149,CloneX #13149,https://clonex-assets.rtfkt.com/images/13149.png,https://clonex-assets.rtfkt.com/13149,Human,BLCK Beanie,GM MONO HOODIE,GLD CBLE,,,,BRWN,,,,,
13148,CloneX #13148,https://clonex-assets.rtfkt.com/images/13148.png,https://clonex-assets.rtfkt.com/13148,Robot,BLND Curtains,STRIPE Tee,,ROBO,,,,,,,,
13147,CloneX #13147,https://clonex-assets.rtfkt.com/images/13147.png,https://clonex-assets.rtfkt.com/13147,Robot,GRN Shape Up,PNK Waistcoast,SLVR CBLE,Gas Mask,,,,,OTT Future Vision,,,
13150,CloneX #13150,https://clonex-assets.rtfkt.com/images/13150.png,https://clonex-assets.rtfkt.com/13150,Human,BLCK Curtains,PNK ORNG Fur Coat,,SMILE,,,BLCK Surprised,,Cyborg V1,RTFKT Earrings,,
13142,CloneX #13142,https://clonex-assets.rtfkt.com/images/13142.png,https://clonex-assets.rtfkt.com/13142,Demon,BLND Pigtails,RD BBL Vest,RBY Two Piece,,ICE,ICE,,,Cyber Eye Patch,,,
13144,CloneX #13144,https://clonex-assets.rtfkt.com/images/13144.png,https://clonex-assets.rtfkt.com/13144,Human,PURP Cyber Cat,GM HOODIE,,,,,GRN,,,,,
13141,CloneX #13141,https://clonex-assets.rtfkt.com/images/13141.png,https://clonex-assets.rtfkt.com/13141,Human,BLCK Curtains,BLU HAWAIIAN Shirt,,SFTY Mask,,,BLU-PURP,Slash Scar,,,,
13143,CloneX #13143,https://clonex-assets.rtfkt.com/images/13143.png,https://clonex-assets.rtfkt.com/13143,Human,BLND Curtains,BLU Waistcoat,SPIKED CHKR,SMILE,,,BLU-PURP,EKO TAT,Glass X,,,
13140,CloneX #13140,https://clonex-assets.rtfkt.com/images/13140.png,https://clonex-assets.rtfkt.com/13140,Human,BLU Curtains,WHT KBA JCKT,,WZRD,,,BLU,,,,,
13139,CloneX #13139,https://clonex-assets.rtfkt.com/images/13139.png,https://clonex-assets.rtfkt.com/13139,Human,BRWN Stylish,BLCK BNDN Shirt,,,,,BLU,369 TAT,,Cross Earring,,
13138,CloneX #13138,https://clonex-assets.rtfkt.com/images/13138.png,https://clonex-assets.rtfkt.com/13138,Human,PURP BRDZ,NEON HOODIE,,,,,BLU-PURP,,,,,
13136,CloneX #13136,https://clonex-assets.rtfkt.com/images/13136.png,https://clonex-assets.rtfkt.com/13136,Human,BLU Buns,JS HOODIE,SLVR CBLE,ICED GRILLZ,,,PNK-BLU,,,,,
13135,CloneX #13135,https://clonex-assets.rtfkt.com/images/13135.png,https://clonex-assets.rtfkt.com/13135,Human,WHT 2 Horns,HVY MTL HOODIE,CYN Two Piece,ICED GRILLZ,,,YLLW,Band-Aid,DRIP VISION,,,
13137,CloneX #13137,https://clonex-assets.rtfkt.com/images/13137.png,https://clonex-assets.rtfkt.com/13137,Robot,PNK Shape Up,JS HOODIE,,Lollipop,,,,,RD LAZER,,,
13134,CloneX #13134,https://clonex-assets.rtfkt.com/images/13134.png,https://clonex-assets.rtfkt.com/13134,Human,Propeller Helmet,BLCK Waistcoat,,Ramen,STONED,STONED,RD CRYSTL,,Cyber Eye Patch,,,
13133,CloneX #13133,https://clonex-assets.rtfkt.com/images/13133.png,https://clonex-assets.rtfkt.com/13133,Human,,PURP CAMO METAJACKET,,,,,BRWN,Band-Aid,,,,
13131,CloneX #13131,https://clonex-assets.rtfkt.com/images/13131.png,https://clonex-assets.rtfkt.com/13131,Human,WHT Curtains,STRIPE Tee,,,,,YLLW,,,,,
13129,CloneX #13129,https://clonex-assets.rtfkt.com/images/13129.png,https://clonex-assets.rtfkt.com/13129,Human,BLCK Curtains,RTFKT CHROME Tee,SG-PDLCK,WHT Long Beard,,,PURP,,,,,
13132,CloneX #13132,https://clonex-assets.rtfkt.com/images/13132.png,https://clonex-assets.rtfkt.com/13132,Demon,BLCK Hairclip,SD Tee,RNBW CBLE,,ICE,ICE,,,Cyber Eyes,,,
13130,CloneX #13130,https://clonex-assets.rtfkt.com/images/13130.png,https://clonex-assets.rtfkt.com/13130,Human,NVY DRDZ,Blade Melt Tee,S-PDLCK,,,,PNK,,,,,
13127,CloneX #13127,https://clonex-assets.rtfkt.com/images/13127.png,https://clonex-assets.rtfkt.com/13127,Angel,BLU Sound Wave,V1 NVY SKL GRL,S-HIRE G-Link,ICED GRILLS,Divine,Divine,,,BILLIONAIRE,,,
13125,CloneX #13125,https://clonex-assets.rtfkt.com/images/13125.png,https://clonex-assets.rtfkt.com/13125,Human,BLCK Unkept,WHT KBA JCKT,RBY Two Piece,,,,PNK,,BILLIONAIRE,,,
13128,CloneX #13128,https://clonex-assets.rtfkt.com/images/13128.png,https://clonex-assets.rtfkt.com/13128,Demon,BRAINZ,WHT PNK Fur Coat,PURP G-Link,,DRK,DRK,,,,,,
13126,CloneX #13126,https://clonex-assets.rtfkt.com/images/13126.png,https://clonex-assets.rtfkt.com/13126,Robot,BRWN Shaggy,CLNX Tee,S-HIRE G-Link,,,,,,,,,
13123,CloneX #13123,https://clonex-assets.rtfkt.com/images/13123.png,https://clonex-assets.rtfkt.com/13123,Reptile,WHT Quiff,JS Tee,S-PDLCK,SPIDERZ,,,,,,,,
13124,CloneX #13124,https://clonex-assets.rtfkt.com/images/13124.png,https://clonex-assets.rtfkt.com/13124,Human,BLU Pigtails,BLCK GM Tee,,,,,GRN,,,,,
13122,CloneX #13122,https://clonex-assets.rtfkt.com/images/13122.png,https://clonex-assets.rtfkt.com/13122,Angel,PURP Curtains,NEON HOODIE,GLD CBLE,Bubblegum,,,,,,,,
13121,CloneX #13121,https://clonex-assets.rtfkt.com/images/13121.png,https://clonex-assets.rtfkt.com/13121,Angel,WHT Unkept,PNK HiTECH Gown,,SMILE,,,,,,,,
13116,CloneX #13116,https://clonex-assets.rtfkt.com/images/13116.png,https://clonex-assets.rtfkt.com/13116,Human,Cowboy,Blade Melt Tee,,Lollipop,,,BRWN,PROMO TAT,BILLIONAIRE,,,
13120,CloneX #13120,https://clonex-assets.rtfkt.com/images/13120.png,https://clonex-assets.rtfkt.com/13120,Robot,BLCK Unkept,PNK BBL Vest,,Goatee,MK1,MK1,,,,PTRA Earring,,
13117,CloneX #13117,https://clonex-assets.rtfkt.com/images/13117.png,https://clonex-assets.rtfkt.com/13117,Angel,BLU Braid,BLU HAWAIIAN Shirt,,Bamboo,Divine,Divine,,,,,,
13115,CloneX #13115,https://clonex-assets.rtfkt.com/images/13115.png,https://clonex-assets.rtfkt.com/13115,Human,GOAT HRNS,FLOOR Tee,SLVR G-Link,,,,PNK-BLU,,DRIP VISION,,,
13118,CloneX #13118,https://clonex-assets.rtfkt.com/images/13118.png,https://clonex-assets.rtfkt.com/13118,Human,PURP Shape Up,BLU PURP BNDN Shirt,RNBW CBLE,,,,PNK-BLU,369 TAT,,,,
13119,CloneX #13119,https://clonex-assets.rtfkt.com/images/13119.png,https://clonex-assets.rtfkt.com/13119,Angel,PNK OCTOPUS,RTFKT X TM RNBW FLOWER,,SMILE,Divine,Divine,,,,,,
13113,CloneX #13113,https://clonex-assets.rtfkt.com/images/13113.png,https://clonex-assets.rtfkt.com/13113,Human,GRN BWLCUT,BLU Waistcoat,,SFTY Mask,MURAKAMI DRIP,MURAKAMI DRIP,BRWN,,ZK VR,,SPLASH,
13108,CloneX #13108,https://clonex-assets.rtfkt.com/images/13108.png,https://clonex-assets.rtfkt.com/13108,Human,WHT BRDZ,Job Tee,,,,,BLU-PURP,SMLY TAT,,,,
13111,CloneX #13111,https://clonex-assets.rtfkt.com/images/13111.png,https://clonex-assets.rtfkt.com/13111,Human,BLU OCTOPUS,JELLYFISH BLW UP JCKT,VVS PANDA,RD DRGN Mask,MURAKAMI DRIP,MURAKAMI DRIP,GRN,,,,,
13109,CloneX #13109,https://clonex-assets.rtfkt.com/images/13109.png,https://clonex-assets.rtfkt.com/13109,Robot,Sound Wave,BLCK Jellyfish Tee,IRI Blade CHKR,,MK1,MK1,,,Eye Patch,,,
13114,CloneX #13114,https://clonex-assets.rtfkt.com/images/13114.png,https://clonex-assets.rtfkt.com/13114,Robot,RD DRDZ,BLU BNDN Shirt,GLD Iced Cuban,,MK1,MK1,,,Cyber Eyes,,,
13112,CloneX #13112,https://clonex-assets.rtfkt.com/images/13112.png,https://clonex-assets.rtfkt.com/13112,Human,RD Stylish,SD Tee,,,,,BLU CRYSTL,,,PTRA Earring,,
13110,CloneX #13110,https://clonex-assets.rtfkt.com/images/13110.png,https://clonex-assets.rtfkt.com/13110,Human,WHT Quiff,FLOOR Tee,,,,,PURP,SWRD TAT,,,,
13107,CloneX #13107,https://clonex-assets.rtfkt.com/images/13107.png,https://clonex-assets.rtfkt.com/13107,Human,GRN Shape Up,RFX Tee,CHRM,Jagged RNBW,MURAKAMI DRIP,MURAKAMI DRIP,PNK-BLU,HRUS 333 TAT,,SLVR STUD,,
13101,CloneX #13101,https://clonex-assets.rtfkt.com/images/13101.png,https://clonex-assets.rtfkt.com/13101,Human,BLCK Curtains,BLCK BNDN Shirt,,SMILE,,,BLU,,,,,
13100,CloneX #13100,https://clonex-assets.rtfkt.com/images/13100.png,https://clonex-assets.rtfkt.com/13100,Robot,BLCK Shape Up,BLU BNDN Shirt,,TRIP,,,,,,,,
13106,CloneX #13106,https://clonex-assets.rtfkt.com/images/13106.png,https://clonex-assets.rtfkt.com/13106,Robot,DAD Cap,ORNG FRSH Shirt,GLD Iced Cuban,,,,,,,,Energy Wings,
13098,CloneX #13098,https://clonex-assets.rtfkt.com/images/13098.png,https://clonex-assets.rtfkt.com/13098,Human,BLCK Bandana TECH Cap,BRWN TCTL Vest,,,STONED,STONED,BRWN,,,,,
13099,CloneX #13099,https://clonex-assets.rtfkt.com/images/13099.png,https://clonex-assets.rtfkt.com/13099,Human,BLND Curtains,FLOOR Tee,,SFTY Mask,,,PURP,HRUS 333 TAT,,,,
13103,CloneX #13103,https://clonex-assets.rtfkt.com/images/13103.png,https://clonex-assets.rtfkt.com/13103,Robot,DAD Cap,PNK Utility Vest,,,,,,,Cyber Eyes,,,
13097,CloneX #13097,https://clonex-assets.rtfkt.com/images/13097.png,https://clonex-assets.rtfkt.com/13097,Robot,BLCK Soundwave,RFX Tee,VVS PANDA,,MURAKAMI DRIP,MURAKAMI DRIP,,,Cyber Bindi,,,
13104,CloneX #13104,https://clonex-assets.rtfkt.com/images/13104.png,https://clonex-assets.rtfkt.com/13104,Robot,BLCK Bandana TECH Cap,JS Tee,,SPIDERZ,,,,,Cyber Bindi,,,
13105,CloneX #13105,https://clonex-assets.rtfkt.com/images/13105.png,https://clonex-assets.rtfkt.com/13105,Angel,RD DRDZ,RFX Tee,,,Divine,Divine,,,,Gold Round Earrings,,
13102,CloneX #13102,https://clonex-assets.rtfkt.com/images/13102.png,https://clonex-assets.rtfkt.com/13102,Robot,BLND Quiff,BLU BNDN Shirt,,SMILE,,,,,,GLD Round,,
13095,CloneX #13095,https://clonex-assets.rtfkt.com/images/13095.png,https://clonex-assets.rtfkt.com/13095,Robot,BLU Shape Up,BLCK UNDRWRLD Uniform,,,MK1,MK1,AWAKEN,,,SLVR Round,,
13094,CloneX #13094,https://clonex-assets.rtfkt.com/images/13094.png,https://clonex-assets.rtfkt.com/13094,Robot,BLND Ponytail,BLCK Utility Vest,PURP Two Piece,,,,,,Assault Glasses,,,
13096,CloneX #13096,https://clonex-assets.rtfkt.com/images/13096.png,https://clonex-assets.rtfkt.com/13096,Human,BRAINZ,GRDNT PFA JCKT,SLVR G-Link,,,,PNK,SAD TAT,,,,
13088,CloneX #13088,,https://clonex-assets.rtfkt.com/13088,,,,,,,,,,,,,
13092,CloneX #13092,,https://clonex-assets.rtfkt.com/13092,,,,,,,,,,,,,
13090,CloneX #13090,,https://clonex-assets.rtfkt.com/13090,,,,,,,,,,,,,
13091,CloneX #13091,,https://clonex-assets.rtfkt.com/13091,,,,,,,,,,,,,
13089,CloneX #13089,,https://clonex-assets.rtfkt.com/13089,,,,,,,,,,,,,
13093,CloneX #13093,,https://clonex-assets.rtfkt.com/13093,,,,,,,,,,,,,
13087,CloneX #13087,https://clonex-assets.rtfkt.com/images/13087.png,https://clonex-assets.rtfkt.com/13087,Human,Sound Wave,FLOOR Tee,,,MURAKAMI DRIP,MURAKAMI DRIP,YLLW Breezy,HRUS 333 TAT,,,,
13084,CloneX #13084,https://clonex-assets.rtfkt.com/images/13084.png,https://clonex-assets.rtfkt.com/13084,Human,Fro,GM HOODIE,GLD Two Piece,,,,CLSD YLLW,VSN TAT,3RD Eye,,,
13086,CloneX #13086,https://clonex-assets.rtfkt.com/images/13086.png,https://clonex-assets.rtfkt.com/13086,Human,Sound Wave,FRSH Shirt,,,,,BLCK Surprised,,Cyber Eye Patch,,,
13085,CloneX #13085,https://clonex-assets.rtfkt.com/images/13085.png,https://clonex-assets.rtfkt.com/13085,Robot,BLU Pigtails,BLCK BNDN Shirt,,,,,,,Cyber Bindi,,,
13083,CloneX #13083,https://clonex-assets.rtfkt.com/images/13083.png,https://clonex-assets.rtfkt.com/13083,Reptile,,CHRMO HOODIE,,,,,,,,,,
13080,CloneX #13080,https://clonex-assets.rtfkt.com/images/13080.png,https://clonex-assets.rtfkt.com/13080,Human,WHT BWLCUT,CLNX HOODIE,,ROBO,,,GRN,,,,,
13081,CloneX #13081,https://clonex-assets.rtfkt.com/images/13081.png,https://clonex-assets.rtfkt.com/13081,Robot,WHT Otaku,SPACE TRIP Tee,G-PDLCK,,,,,,,,,
13082,CloneX #13082,https://clonex-assets.rtfkt.com/images/13082.png,https://clonex-assets.rtfkt.com/13082,Demon,,PLASMA HOODIE,,,,,,,,,,
13075,CloneX #13075,https://clonex-assets.rtfkt.com/images/13075.png,https://clonex-assets.rtfkt.com/13075,Human,PNK Spiked,V4 WHT SKL GRL,,,,,PURP,SKULL WEBZ TAT,Cyber Bindi,,,
13076,CloneX #13076,,https://clonex-assets.rtfkt.com/13076,,,,,,,,,,,,,
13077,CloneX #13077,https://clonex-assets.rtfkt.com/images/13077.png,https://clonex-assets.rtfkt.com/13077,Robot,BLU Curtains,ORNG FRSH Shirt,,Angry,MK-BLCK,MK-BLCK,,,,,,
13079,CloneX #13079,https://clonex-assets.rtfkt.com/images/13079.png,https://clonex-assets.rtfkt.com/13079,Robot,BLU Stylish,BLCK BNDN Shirt,,,MK1,MK1,,,,,,
13078,CloneX #13078,https://clonex-assets.rtfkt.com/images/13078.png,https://clonex-assets.rtfkt.com/13078,Human,,CHRMO HOODIE,,,,,RD CRYSTL,Scratch Scarz,,,,
13074,CloneX #13074,https://clonex-assets.rtfkt.com/images/13074.png,https://clonex-assets.rtfkt.com/13074,Human,LLC Ponytail,JS Tee,PNK ZK-BEADZ,,,,BLU,,Drip Scouter,,,
13073,CloneX #13073,https://clonex-assets.rtfkt.com/images/13073.png,https://clonex-assets.rtfkt.com/13073,Human,TECH Cap,BLCK BKR JCKT,RBY Two Piece,,,,YLLW,,,Cross Earring,,
13071,CloneX #13071,https://clonex-assets.rtfkt.com/images/13071.png,https://clonex-assets.rtfkt.com/13071,Angel,FLME Head Scarf,WAGMI Tee,PURP G-Link,,MURAKAMI DRIP,MURAKAMI DRIP,WIDE-OPEN,,,,,
13070,CloneX #13070,https://clonex-assets.rtfkt.com/images/13070.png,https://clonex-assets.rtfkt.com/13070,Angel,GRN Cyber Dreads,BRWN Fur Coat,GLD Two Piece,,,,,,,GLD Round,,
13072,CloneX #13072,https://clonex-assets.rtfkt.com/images/13072.png,https://clonex-assets.rtfkt.com/13072,Human,RCSave Cap,SD Tee,GPURP Two Piece,Alien,,,CLSD BLU,HRUS TAT,,,,
13069,CloneX #13069,https://clonex-assets.rtfkt.com/images/13069.png,https://clonex-assets.rtfkt.com/13069,Robot,WHT Unkept,RCS Tee,GPURP Two Piece,,,,,,SPiKED BILLIONAIRE,,,
13068,CloneX #13068,https://clonex-assets.rtfkt.com/images/13068.png,https://clonex-assets.rtfkt.com/13068,Robot,BLCK Bandana TECH Cap,GRDNT PFA JCKT,,ROBO,,,,,,SLVR Round,,
13066,CloneX #13066,https://clonex-assets.rtfkt.com/images/13066.png,https://clonex-assets.rtfkt.com/13066,Robot,BLU Curtains,BRED KBA JCKT,,SMILE,,,,,Cyber Bindi,,,
13065,CloneX #13065,https://clonex-assets.rtfkt.com/images/13065.png,https://clonex-assets.rtfkt.com/13065,Human,Bunny,YLLW BLW UP JCKT,PURP Two Piece,,,,GRN,TRi TAT,,,,
13064,CloneX #13064,https://clonex-assets.rtfkt.com/images/13064.png,https://clonex-assets.rtfkt.com/13064,Robot,Brain Machine,CLNX Tee,WGLD Iced Cuban,Pilot Mask,,,,,,,,
13067,CloneX #13067,https://clonex-assets.rtfkt.com/images/13067.png,https://clonex-assets.rtfkt.com/13067,Human,,GRN Fur Coat,,,,,GRN,,,,,
13056,CloneX #13056,https://clonex-assets.rtfkt.com/images/13056.png,https://clonex-assets.rtfkt.com/13056,Robot,BLND Hairclip,BLU ORNG BNDN Shirt,,ICED GRILLZ,,,,,,,,
13061,CloneX #13061,https://clonex-assets.rtfkt.com/images/13061.png,https://clonex-assets.rtfkt.com/13061,Human,GOAT HRNZ,Space PFA JCKT,,,,,BLU,,,,,
13059,CloneX #13059,https://clonex-assets.rtfkt.com/images/13059.png,https://clonex-assets.rtfkt.com/13059,Human,GOAT HRNS,PNK HAWAIIAN Shirt,,,,,BLU,,Aviator,,,
13058,CloneX #13058,https://clonex-assets.rtfkt.com/images/13058.png,https://clonex-assets.rtfkt.com/13058,Human,WHT 2 Horns,FLOOR Tee,,ROBO,,,VVS CRYSTL,,,,,
13062,CloneX #13062,https://clonex-assets.rtfkt.com/images/13062.png,https://clonex-assets.rtfkt.com/13062,Human,BLCK Quiff,,MRBLE G-Link,,,,BLU-PURP,,,,,
13060,CloneX #13060,https://clonex-assets.rtfkt.com/images/13060.png,https://clonex-assets.rtfkt.com/13060,Human,GRN BWLCUT,CAMO BBL Vest,BLCK-GLD ZK-BEADZ,,,,YLLW,WEBZ TAT,Aviator,,,
13057,CloneX #13057,https://clonex-assets.rtfkt.com/images/13057.png,https://clonex-assets.rtfkt.com/13057,Angel,ZK Bucket,BLCK Jellyfish Tee,,WZRD,MURAKAMI DRIP,MURAKAMI DRIP,AWAKEN,,BTC,,SPLASH,
13063,CloneX #13063,https://clonex-assets.rtfkt.com/images/13063.png,https://clonex-assets.rtfkt.com/13063,Robot,PNK Shape Up,RFX Tee,,,MURAKAMI DRIP,MURAKAMI DRIP,AWAKEN,,,,,
13055,CloneX #13055,https://clonex-assets.rtfkt.com/images/13055.png,https://clonex-assets.rtfkt.com/13055,Human,Propeller Helmet,FLOOR Tee,G-PDLCK,Gas Mask,,,YLLW,333 VSN TAT,Cyborg V1,,,
13054,CloneX #13054,https://clonex-assets.rtfkt.com/images/13054.png,https://clonex-assets.rtfkt.com/13054,Human,WHT Stylish,RFX Tee,SLVR Two Piece,,,,BLU-PURP,,,,,
13053,CloneX #13053,https://clonex-assets.rtfkt.com/images/13053.png,https://clonex-assets.rtfkt.com/13053,Human,Sound Wave,RD BBL Vest,KAWAII CHRM,,,,YLLW,,,,,
13050,CloneX #13050,https://clonex-assets.rtfkt.com/images/13050.png,https://clonex-assets.rtfkt.com/13050,Robot,BLU MoHWK,GM MONO HOODIE,GLD G-Link,,,,,,Cyborg V2,,,
13052,CloneX #13052,https://clonex-assets.rtfkt.com/images/13052.png,https://clonex-assets.rtfkt.com/13052,Human,BLU Curtains,V3 WHT SKL GRL,,,,,GRN,,,,,
13051,CloneX #13051,https://clonex-assets.rtfkt.com/images/13051.png,https://clonex-assets.rtfkt.com/13051,Robot,RD Long,JS Tee,GLD CBLE,Lollipop,,,,,,,,
13045,CloneX #13045,https://clonex-assets.rtfkt.com/images/13045.png,https://clonex-assets.rtfkt.com/13045,Human,,PLASMA HOODIE,,,MURAKAMI DRIP,MURAKAMI DRIP,GRN Breezy,,,,,
13049,CloneX #13049,https://clonex-assets.rtfkt.com/images/13049.png,https://clonex-assets.rtfkt.com/13049,Human,BLCK Soundwave,MONO Tee,RNBW CBLE,,,,BRWN,,,,,
13046,CloneX #13046,https://clonex-assets.rtfkt.com/images/13046.png,https://clonex-assets.rtfkt.com/13046,Human,BRWN Long,TRPPY HiTECH GOWN,,,,,GRN,STARVSN TAT,3RD Eye,,,
13048,CloneX #13048,https://clonex-assets.rtfkt.com/images/13048.png,https://clonex-assets.rtfkt.com/13048,Robot,WHT 2 Horns,CLNX Tee,CHRM,,,,,,,SLVR Round,,
13047,CloneX #13047,https://clonex-assets.rtfkt.com/images/13047.png,https://clonex-assets.rtfkt.com/13047,Demon,PURP Curtains,FLOOR Tee,CHRM,,ICE,ICE,,,SPiKED BILLIONAIRE,,,
13044,CloneX #13044,https://clonex-assets.rtfkt.com/images/13044.png,https://clonex-assets.rtfkt.com/13044,Demon,BLCK Soundwave,BLCK Utility Vest,RBY Two Piece,Cigar,,,,,,,,
13041,CloneX #13041,https://clonex-assets.rtfkt.com/images/13041.png,https://clonex-assets.rtfkt.com/13041,Robot,ORNG Bandana TECH Cap,WHT Utility Vest,,,,,,,,,,
13043,CloneX #13043,https://clonex-assets.rtfkt.com/images/13043.png,https://clonex-assets.rtfkt.com/13043,Robot,Open Skull Helmet,THRML PFA JCKT,,,,,,,,,,
13042,CloneX #13042,https://clonex-assets.rtfkt.com/images/13042.png,https://clonex-assets.rtfkt.com/13042,Human,FLME SD Mask,28 JCKT,PURP ZK-BEADZ,,,,YLLW,Angry TAT,,,,
13037,CloneX #13037,https://clonex-assets.rtfkt.com/images/13037.png,https://clonex-assets.rtfkt.com/13037,Angel,BLND Stylish,SD Tee,GLD Iced Cuban,,,,,,,,,
13034,CloneX #13034,https://clonex-assets.rtfkt.com/images/13034.png,https://clonex-assets.rtfkt.com/13034,Robot,BLU MoHWK,BLCK Tee,,ICED GRILLS,,,,,Eye Patch,,Energy Wings,
13040,CloneX #13040,https://clonex-assets.rtfkt.com/images/13040.png,https://clonex-assets.rtfkt.com/13040,Human,GRN Head Scarf,BLCK BKR JCKT,,,STONED,STONED,PURP,,,,,
13038,CloneX #13038,https://clonex-assets.rtfkt.com/images/13038.png,https://clonex-assets.rtfkt.com/13038,Human,BLU Head Scarf,BLCK Tee,,,,,BLU,,3RD Eye,PTRA Earring,,
13035,CloneX #13035,https://clonex-assets.rtfkt.com/images/13035.png,https://clonex-assets.rtfkt.com/13035,Murakami,WHT BRDZ,PNK HiTECH Gown,,Jagged RNBW,MURAKAMI DRIP,MURAKAMI DRIP,WIDE-OPEN,,,,,
13033,CloneX #13033,https://clonex-assets.rtfkt.com/images/13033.png,https://clonex-assets.rtfkt.com/13033,Robot,BLCK Hairclip,PURP HiTECH Dress,,SMILE,,,,,,PTRA Earring,,
13036,CloneX #13036,https://clonex-assets.rtfkt.com/images/13036.png,https://clonex-assets.rtfkt.com/13036,Human,PURP Shape Up,BLCK PIN BKR JCKT,CHRM,,,,PURP,,BILLIONAIRE,,,
13039,CloneX #13039,https://clonex-assets.rtfkt.com/images/13039.png,https://clonex-assets.rtfkt.com/13039,Angel,PURP Curtains,BLCK Waistcoat,,,MURAKAMI DRIP,MURAKAMI DRIP,HALF-OPEN,,,,,
13031,CloneX #13031,https://clonex-assets.rtfkt.com/images/13031.png,https://clonex-assets.rtfkt.com/13031,Robot,PNK Shape Up,CLNX HOODIE,MRBLE G-Link,,,,,,,,,
13030,CloneX #13030,https://clonex-assets.rtfkt.com/images/13030.png,https://clonex-assets.rtfkt.com/13030,Robot,BLCK BRDZ,WAGMI Tee,SLVR Two Piece,Wise Fancy Mustache,MK1,MK1,,,,,,
13032,CloneX #13032,https://clonex-assets.rtfkt.com/images/13032.png,https://clonex-assets.rtfkt.com/13032,Human,PNK BWLCUT,CLNX FRSH Shirt,GLD Two Piece,,,,CLSD PURP,PROMO TAT,,,Energy Wings,
13029,CloneX #13029,https://clonex-assets.rtfkt.com/images/13029.png,https://clonex-assets.rtfkt.com/13029,Human,BLCK BWLCUT,RFX Tee,,Pilot Mask,STONED,STONED,GRN,,,,,
13028,CloneX #13028,https://clonex-assets.rtfkt.com/images/13028.png,https://clonex-assets.rtfkt.com/13028,Human,WHT BWLCUT,GRN TCTL Vest,,,,,BRWN,BCODE TAT,,,,
13027,CloneX #13027,https://clonex-assets.rtfkt.com/images/13027.png,https://clonex-assets.rtfkt.com/13027,Demon,BLND Fro,RD VARSITY JCKT,,,ICE,ICE,,,,,,
13026,CloneX #13026,https://clonex-assets.rtfkt.com/images/13026.png,https://clonex-assets.rtfkt.com/13026,Demon,BLU OCTOPUS,BLCK Jellyfish Tee,,,MURAKAMI DRIP,MURAKAMI DRIP,HALF-OPEN,,Aviator,,,
13025,CloneX #13025,https://clonex-assets.rtfkt.com/images/13025.png,https://clonex-assets.rtfkt.com/13025,Human,MEDUZA,,RBY Two Piece,,,,PURP,,,,,
13024,CloneX #13024,https://clonex-assets.rtfkt.com/images/13024.png,https://clonex-assets.rtfkt.com/13024,Robot,ZK Bucket,ORNG FRSH Shirt,CYN Two Piece,,,,,,,,,
13023,CloneX #13023,https://clonex-assets.rtfkt.com/images/13023.png,https://clonex-assets.rtfkt.com/13023,Robot,Fro,WAGMI Tee,,Pipe,MK1,MK1,,,,,,
